reply_text,reply_username,reply_date,language,tweet_id
Nation First,@PK_Official4You,2025-05-25T11:02:15.000Z,en,-1218090260875100000
Mullader chatte hobe to. Tai geche.,@modiparibar143,2025-05-25T12:00:52.000Z,de,-1218090260875100000
"তুমি আমাদের কখন মুর্শিদাবাদে পাঠাবে?  তোমার মুসলিম লোকেরা হিন্দু বাঙালিদের ঘরবাড়ি এবং হিন্দু মন্দির ধ্বংস করেছে, ঘরবাড়ি পুড়িয়ে দিয়েছে, হিন্দু পরিবারকে হত্যা করেছে এবং গণহত্যা করেছে।",@SagarCwc,2025-05-25T12:11:42.000Z,bn,-1218090260875100000
"डायन बैनर्जी मासूम हीन,,,दु को कतले आम किया जा रहा ह  मुर्शिदाबाद में, एक दिन दुर्गा मा न्याय जरूर करेंगी",@HarshGu18401054,2025-05-25T17:52:51.000Z,hi,-1218090260875100000
"Place :- Murshidabad.  Objective :- Cooperative selection.  Attacked :- police.  The attacker :- is a Trinamool-backed, corrupt vote bank. Police :- are helpless. (Just like Hîndûs)  How dare you, take the baton from the police and beat the police",@ommGodofTrident,2025-05-25T19:40:30.000Z,en,-1218090260875100000
"Admirable work by our 5-member delegation in Poonch and Rajouri, standing with grieving families during difficult times. #support",@MahafijM28103,2025-05-26T00:33:54.000Z,en,-1218090260875100000
#TMCPCYBERCELL,@SkBaharulIsla10,2025-05-26T04:44:22.000Z,qme,-1218090260875100000
মুর্শিদাবাদে পুলিশের কোন ক্ষমতা নেই আবারও প্রমান হল।,@ApuMahato21,2025-05-26T04:55:02.000Z,bn,-1218090260875100000
Go to Murshidabad too..,@omprakashpande6,2025-05-26T05:24:26.000Z,en,-1218090260875100000
মুর্শিদাবাদে পুলিশের কোন ক্ষমতা নেই আবারও প্রমান হল।,@ApuMahato21,2025-05-26T04:55:02.000Z,bn,-1218090260875100000
Go to Murshidabad too..,@omprakashpande6,2025-05-26T05:24:26.000Z,en,-1218090260875100000
"Kudos to the TMC delegation for their compassionate visit to Poonch and Rajouri. Their presence brought solace to grieving families and support to the injured. In times of crisis, empathy and solidarity matter most. #TMC #CompassionInAction #PoonchRajouri",@chatterjee_mita,2025-05-26T06:16:14.000Z,en,-1218090260875100000
"Mrs chief minister, mrs busy chief minister, mrs mon ki karne vali  cheif minister take a look at this also",@singhslathiaji,2025-05-26T06:16:18.000Z,en,-1218090260875100000
Please send Ur delegates to Murshisabad's Hindu families also,@NonSeculaIndian,2025-05-26T07:25:02.000Z,en,-1218090260875100000
Heartfelt thanks to the AITC delegation ( @derekobrienmp  @sagarikaghose  @MdNadimulHaque6  @MamataThakurTMC  @ManasB_Official ) for standing tall in this critical moment. The people of Bengal and India stand shoulder to shoulder with our co-citizens in the border villages of Kashmir.,@skrishna1969,2025-05-26T11:45:27.000Z,en,-1218090260875100000
Nobody liked clowns of TMC visiting,@Yakthuinc2024,2025-05-25T05:06:18.000Z,en,-1218090260875100000
"তুমি আমাদের কখন মুর্শিদাবাদে পাঠাবে?   তোমার মুসলিম লোকেরা হিন্দু বাঙালিদের ঘরবাড়ি এবং হিন্দু মন্দির ধ্বংস করেছে, ঘরবাড়ি পুড়িয়ে দিয়েছে, হিন্দু পরিবারকে হত্যা করেছে এবং গণহত্যা করেছে।",@SagarCwc,2025-05-25T12:12:42.000Z,bn,-1218090260875100000
When will such delegates go to Murshidabad and take cognizance of the misdeeds of MLAs of your own tolabaaji party  @MamataOfficial    Murshidabad is facing the same #hindu genocide which your #government is funding,@just_a_MangoMan,2025-05-25T12:17:57.000Z,en,-1218090260875100000
পশ্চিমবঙ্গের রোহিঙ্গাদের পাশে দাড়ানোর জন্য আপনার মানসিক চিন্তা কী। বাংলাদেশের মুসলমান বহিরাগত আগন্তুক পশ্চিমবঙ্গের তথা ভারতের মাটিতে বাঁচার উপায় ফন্দি খুঁজতে খুঁজতে টিএমসি পার্টি সদস্য হিসেবে পরিচয় পাওয়াযায়। আপনি পশ্চিমবঙ্গের মুখ্যমন্ত্রী হিসেবে চুপচাপ কেন। ভয় কাকে পাচ্ছেন,@Kund21885Kundu,2025-05-25T12:51:11.000Z,bn,-1218090260875100000
"Mrs chief minister, mrs busy chief minister, mrs mon ki karne vali  cheif minister take a look at this also",@singhslathiaji,2025-05-26T06:16:18.000Z,en,-1218090260875100000
Please send Ur delegates to Murshisabad's Hindu families also,@NonSeculaIndian,2025-05-26T07:25:02.000Z,en,-1218090260875100000
Heartfelt thanks to the AITC delegation ( @derekobrienmp  @sagarikaghose  @MdNadimulHaque6  @MamataThakurTMC  @ManasB_Official ) for standing tall in this critical moment. The people of Bengal and India stand shoulder to shoulder with our co-citizens in the border villages of Kashmir.,@skrishna1969,2025-05-26T11:45:27.000Z,en,-1218090260875100000
Nobody liked clowns of TMC visiting,@Yakthuinc2024,2025-05-25T05:06:18.000Z,en,-1218090260875100000
"তুমি আমাদের কখন মুর্শিদাবাদে পাঠাবে?   তোমার মুসলিম লোকেরা হিন্দু বাঙালিদের ঘরবাড়ি এবং হিন্দু মন্দির ধ্বংস করেছে, ঘরবাড়ি পুড়িয়ে দিয়েছে, হিন্দু পরিবারকে হত্যা করেছে এবং গণহত্যা করেছে।",@SagarCwc,2025-05-25T12:12:42.000Z,bn,-1218090260875100000
When will such delegates go to Murshidabad and take cognizance of the misdeeds of MLAs of your own tolabaaji party  @MamataOfficial    Murshidabad is facing the same #hindu genocide which your #government is funding,@just_a_MangoMan,2025-05-25T12:17:57.000Z,en,-1218090260875100000
পশ্চিমবঙ্গের রোহিঙ্গাদের পাশে দাড়ানোর জন্য আপনার মানসিক চিন্তা কী। বাংলাদেশের মুসলমান বহিরাগত আগন্তুক পশ্চিমবঙ্গের তথা ভারতের মাটিতে বাঁচার উপায় ফন্দি খুঁজতে খুঁজতে টিএমসি পার্টি সদস্য হিসেবে পরিচয় পাওয়াযায়। আপনি পশ্চিমবঙ্গের মুখ্যমন্ত্রী হিসেবে চুপচাপ কেন। ভয় কাকে পাচ্ছেন,@Kund21885Kundu,2025-05-25T12:51:11.000Z,bn,-1218090260875100000
Chal be Madar c,@hvyas11,2025-05-25T13:05:55.000Z,es,-1218090260875100000
Meanwhile Hindus are butchered under your nose by your own jihadi kaum in murshidabad. Anything there?,@LordSriRamm,2025-05-25T13:39:08.000Z,en,-1218090260875100000
Indian  problem everyone getting political credit haha  modi rahul mamta,@Territorian2024,2025-05-25T13:39:40.000Z,tl,-1218090260875100000
Theri maa-ki-chooth Mamtha matherchod...You are allowing Bangladeshi into West Bengal & attacking Hindus.,@master543899,2025-05-25T13:45:39.000Z,en,-1218090260875100000
Ran.i rona,@lunaharanil,2025-05-26T16:23:11.000Z,und,-1218090260875100000
We all stand with the families affected by cross border shelling and our five member delegation met these families and tried to console them and shared their sorrow.,@KamalAITC,2025-05-26T23:02:27.000Z,en,-1218090260875100000
Jay bangla,@FARIDULMALLICK4,2025-05-27T07:35:59.000Z,ht,-1218090260875100000
Jay bangla,@FARIDULMALLICK4,2025-05-27T07:35:59.000Z,ht,-1218090260875100000
#ReleaseSharmistha,@AntiNehruGandhi,2025-05-31T10:23:35.000Z,qme,-1218090260875100000
"A human is one who has humanity and humanity is one who has compassion. Swami Vivekananda says that if a person does not have compassion for others, no matter how great a scholar he is, he cannot achieve anything in his life. Actually, compassion is emotional and without",@kanchan modi,2025-05-24T17:06:36.000Z,en,-1218090260875100000
Didi visit #Murshidabad,@mukherjiking,2025-05-24T17:15:29.000Z,en,-1218090260875100000
The Central Govt is totally shameless. While PM and others are busy trying to take credit for Operation Sindoor none visited the injured civilians due to Pakistan shelling. Thanks to Didi who sent the delegation to find out the plight of these poor civilians,@snmajumdar,2025-05-24T17:45:42.000Z,en,-1218090260875100000
Well done,@PradipMondalTMC,2025-05-26T08:03:41.000Z,en,-1218090260875100000
"@MamataOfficial  Your empathy for Poonch and Rajouri is noted, but what about Bengal? Scams are rampant, teachers are dying, and the state is in turmoil. Compassion starts at home—address the burning issues in Bengal first!  #BengalBurning #PrioritizeBeng",@anp_services,2025-05-27T12:55:44.000Z,en,-1218090260875100000
This lady is so cheap that she blindly ignore Murshidabad massacre and will all world know how Hindus where killed and targeted  she has gone so cheap that people will remember her at the time of vote in West Bengal this time #novotemamta  #murshidabad #failedCM,@AnshitKatiyar,2025-05-28T03:43:52.000Z,en,-1218090260875100000
Thank you Didi for standing beside the people of Poonch..,@mohitnandi41,2025-05-24T17:21:13.000Z,en,-1218090260875100000
#IndiaWantsMamataDi #IWMSouthKolkata #IWMRashbehari,@SanjibaD82538,2025-05-24T17:36:08.000Z,qme,-1218090260875100000
Tum deshdrohi aur Hindu Virodhi Jahil Nikammi Aurat ho,@SS6765100198893,2025-05-24T20:27:04.000Z,hi,-1218090260875100000
Heartfelt thanks to the AITC delegation ( @derekobrienmp  @sagarikaghose  @MdNadimulHaque6  @MamataThakurTMC  @ManasB_Official ) for standing tall in this critical moment.  The people of Bengal and India stand shoulder to shoulder with our co-citizens in the border villages of Kashmir.,@JakirMallicAITC,2025-05-25T05:20:34.000Z,en,-1218090260875100000
সম্প্রতি সীমান্তবর্তী পুঞ্চ এবং রাজৌরি জেলা পরিদর্শনকারী  @AITCofficial  এর ৫সদস্যের প্রতিনিধিদলের প্রচেষ্টার জন্য কৃতজ্ঞ। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade,@Tulikarmakar90,2025-05-25T11:06:21.000Z,bn,-1218090260875100000
"পাকিস্তানের হামলার শিকার পুঞ্চে বসবাসকারী মানুষ।সন্ত্রাসীদের বোমা,গুলি রেয়াত করেনি কাউকেই।সেই পুঞ্চে ক্ষতিগ্রস্ত সাধারণ মানুষের সঙ্গে সাক্ষাৎ করলেন আমাদের প্রতিনিধিদলের সদস্যরা। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade",@Tulikarmakar90,2025-05-25T11:07:59.000Z,bn,-1218090260875100000
"Thank you Mam,",@mohamed_ali_as,2025-05-24T16:58:24.000Z,en,-1218090260875100000
@MamataOfficial  @AITCofficial,@SumanRoyAITC,2025-05-24T17:06:23.000Z,qam,-1218090260875100000
@MamataOfficial,@MintuGa00953502,2025-05-24T17:07:19.000Z,qam,-1218090260875100000
সম্প্রতি সীমান্তবর্তী পুঞ্চ এবং রাজৌরি জেলা পরিদর্শনকারী  @AITCofficial  এর ৫সদস্যের প্রতিনিধিদলের প্রচেষ্টার জন্য কৃতজ্ঞ। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade,@Tulikarmakar90,2025-05-25T11:06:21.000Z,bn,-1218090260875100000
"পাকিস্তানের হামলার শিকার পুঞ্চে বসবাসকারী মানুষ।সন্ত্রাসীদের বোমা,গুলি রেয়াত করেনি কাউকেই।সেই পুঞ্চে ক্ষতিগ্রস্ত সাধারণ মানুষের সঙ্গে সাক্ষাৎ করলেন আমাদের প্রতিনিধিদলের সদস্যরা। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade",@Tulikarmakar90,2025-05-25T11:07:59.000Z,bn,-1218090260875100000
"Thank you Mam,",@mohamed_ali_as,2025-05-24T16:58:24.000Z,en,-1218090260875100000
@MamataOfficial  @AITCofficial,@SumanRoyAITC,2025-05-24T17:06:23.000Z,qam,-1218090260875100000
@MamataOfficial,@MintuGa00953502,2025-05-24T17:07:19.000Z,qam,-1218090260875100000
. @AITCofficial  এর প্রতিনিধিদলটি রাজৌরির সরকারি মেডিকেল কলেজ পরিদর্শন করেছেন আহত এবং চিকিৎসাধীনদের খোঁজখবর নিতে।তারা উপস্থিত চিকিৎসকদের সাথে কথা বলেছেন এবং তাদের সেবার জন্য গভীর কৃতজ্ঞতা প্রকাশ করেছেন। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade,@AbhinandanAITC,2025-05-25T03:57:29.000Z,bn,-1218090260875100000
"পাকিস্তানের হামলার শিকার পুঞ্চে বসবাসকারী মানুষ।সন্ত্রাসীদের বোমা,গুলি রেয়াত করেনি কাউকেই।সেই পুঞ্চে ক্ষতিগ্রস্ত সাধারণ মানুষের সঙ্গে সাক্ষাৎ করলেন আমাদের প্রতিনিধিদলের সদস্যরা। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade",@RajDas29275454,2025-05-25T04:13:46.000Z,bn,-1218090260875100000
সম্প্রতি সীমান্তবর্তী পুঞ্চ এবং রাজৌরি জেলা পরিদর্শনকারী  @AITCofficial  এর ৫সদস্যের প্রতিনিধিদলের প্রচেষ্টার জন্য কৃতজ্ঞ। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade,@RajDas29275454,2025-05-25T04:14:00.000Z,bn,-1218090260875100000
"পাকিস্তানের হামলার শিকার পুঞ্চে বসবাসকারী মানুষ।সন্ত্রাসীদের বোমা,গুলি রেয়াত করেনি কাউকেই।সেই পুঞ্চে ক্ষতিগ্রস্ত সাধারণ মানুষের সঙ্গে সাক্ষাৎ করলেন আমাদের প্রতিনিধিদলের সদস্যরা। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade",@BhaskarITSMCell,2025-05-25T04:22:36.000Z,bn,-1218090260875100000
সম্প্রতি সীমান্তবর্তী পুঞ্চ এবং রাজৌরি জেলা পরিদর্শনকারী  @AITCofficial  এর ৫সদস্যের প্রতিনিধিদলের প্রচেষ্টার জন্য কৃতজ্ঞ। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade,@BhaskarITSMCell,2025-05-25T04:25:03.000Z,bn,-1218090260875100000
". @AITCofficial  এর সদস্যরা শোকাহত পরিবারগুলির সাথে দেখা করেছেন,তাদের দুঃখ ভাগ করে নিয়েছেন এবং এই প্রচণ্ড যন্ত্রণার সময়ে সান্ত্বনা ও সমর্থন জানিয়েছেন। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade",@BhaskarITSMCell,2025-05-25T04:25:21.000Z,bn,-1218090260875100000
. @AITCofficial  এর প্রতিনিধিদলটি রাজৌরির সরকারি মেডিকেল কলেজ পরিদর্শন করেছেন আহত এবং চিকিৎসাধীনদের খোঁজখবর নিতে।তারা উপস্থিত চিকিৎসকদের সাথে কথা বলেছেন এবং তাদের সেবার জন্য গভীর কৃতজ্ঞতা প্রকাশ করেছেন। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade,@BhaskarITSMCell,2025-05-25T04:25:40.000Z,bn,-1218090260875100000
"সংকটের মুহূর্তে,জনগণের সবচেয়ে বেশি যা প্রয়োজন তা হল সমবেদনার নিরাময় স্পর্শ এবং আমাদের প্রতিনিধিদলের কাছে গভীরভাবে কৃতজ্ঞ যে তারা ঠিক তা প্রদান করেছেন।একজন জনপ্রতিনিধি হিসেবে,সর্বদাই তাদের প্রয়োজনের সময় জনগণের পাশে দাড়ানো। #AITCDelegationOnPoonch #AITCWorkers #WhiteBrigade",@BhaskarITSMCell,2025-05-25T04:25:57.000Z,bn,-1218090260875100000
সম্প্রতি সীমান্তবর্তী পুঞ্চ এবং রাজৌরি জেলা পরিদর্শনকারী  @AITCofficial  এর ৫সদস্যের প্রতিনিধিদলের প্রচেষ্টার জন্য কৃতজ্ঞ। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade,@North24PGS_BGM,2025-05-25T04:41:15.000Z,bn,-1218090260875100000
সম্প্রতি সীমান্তবর্তী পুঞ্চ এবং রাজৌরি জেলা পরিদর্শনকারী  @AITCofficial  এর ৫সদস্যের প্রতিনিধিদলের প্রচেষ্টার জন্য কৃতজ্ঞ। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade,@AMajumdrAITC,2025-05-25T04:52:48.000Z,bn,-1218090260875100000
"পাকিস্তানের হামলার শিকার পুঞ্চে বসবাসকারী মানুষ।সন্ত্রাসীদের বোমা,গুলি রেয়াত করেনি কাউকেই।সেই পুঞ্চে ক্ষতিগ্রস্ত সাধারণ মানুষের সঙ্গে সাক্ষাৎ করলেন আমাদের প্রতিনিধিদলের সদস্যরা। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade",@RajDas29275454,2025-05-25T04:13:46.000Z,bn,-1218090260875100000
সম্প্রতি সীমান্তবর্তী পুঞ্চ এবং রাজৌরি জেলা পরিদর্শনকারী  @AITCofficial  এর ৫সদস্যের প্রতিনিধিদলের প্রচেষ্টার জন্য কৃতজ্ঞ। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade,@RajDas29275454,2025-05-25T04:14:00.000Z,bn,-1218090260875100000
"পাকিস্তানের হামলার শিকার পুঞ্চে বসবাসকারী মানুষ।সন্ত্রাসীদের বোমা,গুলি রেয়াত করেনি কাউকেই।সেই পুঞ্চে ক্ষতিগ্রস্ত সাধারণ মানুষের সঙ্গে সাক্ষাৎ করলেন আমাদের প্রতিনিধিদলের সদস্যরা। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade",@BhaskarITSMCell,2025-05-25T04:22:36.000Z,bn,-1218090260875100000
সম্প্রতি সীমান্তবর্তী পুঞ্চ এবং রাজৌরি জেলা পরিদর্শনকারী  @AITCofficial  এর ৫সদস্যের প্রতিনিধিদলের প্রচেষ্টার জন্য কৃতজ্ঞ। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade,@BhaskarITSMCell,2025-05-25T04:25:03.000Z,bn,-1218090260875100000
". @AITCofficial  এর সদস্যরা শোকাহত পরিবারগুলির সাথে দেখা করেছেন,তাদের দুঃখ ভাগ করে নিয়েছেন এবং এই প্রচণ্ড যন্ত্রণার সময়ে সান্ত্বনা ও সমর্থন জানিয়েছেন। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade",@BhaskarITSMCell,2025-05-25T04:25:21.000Z,bn,-1218090260875100000
. @AITCofficial  এর প্রতিনিধিদলটি রাজৌরির সরকারি মেডিকেল কলেজ পরিদর্শন করেছেন আহত এবং চিকিৎসাধীনদের খোঁজখবর নিতে।তারা উপস্থিত চিকিৎসকদের সাথে কথা বলেছেন এবং তাদের সেবার জন্য গভীর কৃতজ্ঞতা প্রকাশ করেছেন। #AITCDelegationOnPoonch #AITCITSMCell #SocialMedia  #AITCWorkers #WhiteBrigade,@BhaskarITSMCell,2025-05-25T04:25:40.000Z,bn,-1218090260875100000
