raw_text,cleaned_text,analyzed_text,tweet_text,reply_username,reply_date,tweet_id,language,coarse_sentiment,fine_sentiment,confidence,relevance_score,relevance_label
What about Murshidabad Hindus?.  Could u send any delegation there to hear sad plight of Hindu,What about Murshidabad Hindus?. Could u send any delegation there to hear sad plight of Hindu,What about Murshidabad Hindus?. Could u send any delegation there to hear sad plight of Hindu,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@nathtapas,2025-05-25T03:30:34.000Z,-1218090260875100000,en,negative,criticism,0.82,0.56,related
Hindus is your own state West Bengal is living in poor state than this … please send a delegation for them too… central Govt is there to take care of them…,Hindus is your own state West Bengal is living in poor state than this please send a delegation for them too central Govt is there to take care of them,Hindus is your own state West Bengal is living in poor state than this please send a delegation for them too central Govt is there to take care of them,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Gautam5042,2025-05-24T16:47:37.000Z,-1218090260875100000,en,negative,criticism,0.84,0.41,unrelated
"Your government is incapable of protecting Hindus in west bengal itself, No control on Bangladeshis and Rohingyas   And your focus is on this bogus and fake sympathy... politicians like you are cursed to the Nation   #JayshreeRam","Your government is incapable of protecting Hindus in west bengal itself, No control on Bangladeshis and Rohingyas And your focus is on this bogus and fake sympathy... politicians like you are cursed to the Nation #JayshreeRam","Your government is incapable of protecting Hindus in west bengal itself, No control on Bangladeshis and Rohingyas And your focus is on this bogus and fake sympathy... politicians like you are cursed to the Nation #JayshreeRam","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Ikraghu1c,2025-05-24T17:28:55.000Z,-1218090260875100000,en,negative,criticism,0.92,0.21,unrelated
Apni ar apnar bhaipo ei bodo silpo gulo kobe chalu korchen,Apni ar apnar bhaipo ei bodo silpo gulo kobe chalu korchen,Apni ar apnar bhaipo ei bodo silpo gulo kobe chalu korchen,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Sakti9967,2025-05-24T18:56:52.000Z,-1218090260875100000,tl,negative,insult,0.42,0.09,unrelated
"Your Excellency honarable madam, this is tomuch pathacik condition, Tarerist country of Pakistan are required topmost Tarerist and spend all over the world for tariresam.","Your Excellency honarable madam, this is tomuch pathacik condition, Tarerist country of Pakistan are required topmost Tarerist and spend all over the world for tariresam.","Your Excellency honarable madam, this is tomuch pathacik condition, Tarerist country of Pakistan are required topmost Tarerist and spend all over the world for tariresam.","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@ParthaG69981508,2025-05-25T02:25:42.000Z,-1218090260875100000,en,positive,support,0.41,0.33,unrelated
সকলকে প্রণাম,সকলকে প্রণাম,সকলকে প্রণাম,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Bishaktoguddu,2025-05-24T17:21:15.000Z,-1218090260875100000,bn,positive,support,0.46,0.25,unrelated
Thank you didi,Thank you didi,Thank you didi,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@MitraSpeaks,2025-05-24T17:26:15.000Z,-1218090260875100000,id,positive,praise,0.87,0.24,unrelated
Not a single post on #MurshidabadViolence ?,Not a single post on #MurshidabadViolence ?,Not a single post on #MurshidabadViolence ?,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@gyanibaba2047,2025-05-25T12:35:55.000Z,-1218090260875100000,en,negative,hate,0.75,0.21,unrelated
You should now allow a similar party delegation of NC PDP and other parties to Murshidabad to meet victims of riots,You should now allow a similar party delegation of NC PDP and other parties to Murshidabad to meet victims of riots,You should now allow a similar party delegation of NC PDP and other parties to Murshidabad to meet victims of riots,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@VishalGBhat,2025-05-25T15:09:03.000Z,-1218090260875100000,en,neutral,support,0.46,0.46,related
"I think if each state sends one delegation each , the the local administration has to fix timings for visitors like in hospitals… visitors are not announcing any help for the locals , just wasting thier time, they will remember the visitors if they give some relief … everyone","I think if each state sends one delegation each , the the local administration has to fix timings for visitors like in hospitals visitors are not announcing any help for the locals , just wasting thier time, they will remember the visitors if they give some relief everyone","I think if each state sends one delegation each , the the local administration has to fix timings for visitors like in hospitals visitors are not announcing any help for the locals , just wasting thier time, they will remember the visitors if they give some relief everyone","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@mvstoyota333,2025-05-24T17:22:48.000Z,-1218090260875100000,en,negative,criticism,0.68,0.35,unrelated
Natak,Natak,Natak,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@shantonu123,2025-05-24T17:26:06.000Z,-1218090260875100000,id,neutral,statement,0.41,0.18,unrelated
First look at your state...,First look at your state...,First look at your state...,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@I_M_PratyushDas,2025-05-24T17:43:19.000Z,-1218090260875100000,en,neutral,inquiry,0.73,0.1,unrelated
Heartfelt thanks to the AITC delegation ( @derekobrienmp  @sagarikaghose  @MdNadimulHaque6  @MamataThakurTMC  @ManasB_Official ) for standing tall in this critical moment.  The people of Bengal and India stand shoulder to shoulder with our co-citizens in the border villages of Kashmir.,Heartfelt thanks to the AITC delegation ( @derekobrienmp @sagarikaghose @MdNadimulHaque6 @MamataThakurTMC @ManasB_Official ) for standing tall in this critical moment. The people of Bengal and India stand shoulder to shoulder with our co-citizens in the border villages of Kashmir.,Heartfelt thanks to the AITC delegation ( @derekobrienmp @sagarikaghose @MdNadimulHaque6 @MamataThakurTMC @ManasB_Official ) for standing tall in this critical moment. The people of Bengal and India stand shoulder to shoulder with our co-citizens in the border villages of Kashmir.,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@anupsaha925,2025-05-24T17:43:27.000Z,-1218090260875100000,en,positive,praise,0.55,0.5,related
Please first check west bengal border,Please first check west bengal border,Please first check west bengal border,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@YashXplorer,2025-05-24T18:41:28.000Z,-1218090260875100000,en,neutral,criticism,0.46,0.35,unrelated
All for election votes,All for election votes,All for election votes,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@noname007134,2025-05-25T12:31:30.000Z,-1218090260875100000,en,neutral,support,0.75,0.11,unrelated
"You have turned West Bengal to another Kashmir with hindu genocide. Last month I visited my hometown and was shocked to the sheer number of muslims. Educated Bengali hindu middle class are forced to leave WB due to lack of jobs, terror and gunda culture. Wake up!","You have turned West Bengal to another Kashmir with hindu genocide. Last month I visited my hometown and was shocked to the sheer number of muslims. Educated Bengali hindu middle class are forced to leave WB due to lack of jobs, terror and gunda culture. Wake up!","You have turned West Bengal to another Kashmir with hindu genocide. Last month I visited my hometown and was shocked to the sheer number of muslims. Educated Bengali hindu middle class are forced to leave WB due to lack of jobs, terror and gunda culture. Wake up!","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Avantikababi,2025-05-25T15:03:38.000Z,-1218090260875100000,en,negative,criticism,0.93,0.31,unrelated
"My mother was once your huge fan, not anymore!","My mother was once your huge fan, not anymore!","My mother was once your huge fan, not anymore!","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Avantikababi,2025-05-25T15:04:02.000Z,-1218090260875100000,en,neutral,criticism,0.39,0.03,unrelated
"We were once your huge fan, not anymore. Middle class hindu bengalis have given up all hope","We were once your huge fan, not anymore. Middle class hindu bengalis have given up all hope","We were once your huge fan, not anymore. Middle class hindu bengalis have given up all hope","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Avantikababi,2025-05-25T15:04:34.000Z,-1218090260875100000,en,negative,criticism,0.86,0.19,unrelated
"Didi! With all due honesty, your & your party's humanitarian efforts would've been much appreciated had you people shown the similar concern for the victims of genocide in J&K in 1991, or the victims of Pahalgam terror, or for the victims of Sandeshkhali & Murshidabad too.","Didi! With all due honesty, your & your party's humanitarian efforts would've been much appreciated had you people shown the similar concern for the victims of genocide in J&K in 1991, or the victims of Pahalgam terror, or for the victims of Sandeshkhali & Murshidabad too.","Didi! With all due honesty, your & your party's humanitarian efforts would've been much appreciated had you people shown the similar concern for the victims of genocide in J&K in 1991, or the victims of Pahalgam terror, or for the victims of Sandeshkhali & Murshidabad too.","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@UndauntedSpirit,2025-05-25T15:11:04.000Z,-1218090260875100000,en,negative,criticism,0.38,0.46,related
Madam vote k liye kya kya Krna pdhta... History will remember you with disgrace.,Madam vote k liye kya kya Krna pdhta... History will remember you with disgrace.,Madam vote k liye kya kya Krna pdhta... History will remember you with disgrace.,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@AwesomeharshHmg,2025-05-25T16:15:13.000Z,-1218090260875100000,sw,negative,criticism,0.72,0.21,unrelated
They went to assess what more damage can be   done and this is well known to all Indian Hindus.,They went to assess what more damage can be done and this is well known to all Indian Hindus.,They went to assess what more damage can be done and this is well known to all Indian Hindus.,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@MohanRao_IND,2025-05-25T17:07:30.000Z,-1218090260875100000,en,neutral,insult,0.49,0.3,unrelated
